year	round	asset_id	reference_id	latitude	longitude
1991	7	layout-magny-cours-1	layout-magny-cours-1	46.863242	3.164228
1991	8	layout-silverstone-4	layout-silverstone-4	52.078611	-1.016944
1991	9	layout-hockenheimring-2	layout-hockenheimring-2	49.327778	8.565833
1991	10	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1991	11	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1991	12	layout-monza-6	layout-monza-6	45.620556	9.289444
1991	13	layout-estoril-1	layout-estoril-1	38.750833	-9.394167
1991	14	layout-catalunya-1	layout-catalunya-1	41.57	2.261111
1991	15	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1991	16	layout-adelaide-1	layout-adelaide-1	-34.927222	138.617222
1992	1	layout-kyalami-2	layout-kyalami-2	-25.998611	28.068889
1992	2	layout-mexico-city-2	layout-mexico-city-2	19.404197	-99.088747
1992	3	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1992	4	layout-catalunya-1	layout-catalunya-1	41.57	2.261111
1992	5	layout-imola-1	layout-imola-1	44.341111	11.713333
1992	6	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1992	7	layout-montreal-3	layout-montreal-3	45.500578	-73.522461
1992	8	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1992	9	layout-silverstone-4	layout-silverstone-4	52.078611	-1.016944
1992	10	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1992	11	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1992	12	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1992	13	layout-monza-6	layout-monza-6	45.620556	9.289444
1992	14	layout-estoril-1	layout-estoril-1	38.750833	-9.394167
1992	15	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1992	16	layout-adelaide-1	layout-adelaide-1	-34.927222	138.617222
1993	1	layout-kyalami-2	layout-kyalami-2	-25.998611	28.068889
1993	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1993	3	layout-donington-1	layout-donington-1	52.829806	-1.379556
1993	4	layout-imola-1	layout-imola-1	44.341111	11.713333
1993	5	layout-catalunya-1	layout-catalunya-1	41.57	2.261111
1993	6	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1993	7	layout-montreal-3	layout-montreal-3	45.500578	-73.522461
1993	8	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1993	9	layout-silverstone-4	layout-silverstone-4	52.078611	-1.016944
1993	10	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1993	11	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1993	12	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1993	13	layout-monza-6	layout-monza-6	45.620556	9.289444
1993	14	layout-estoril-1	layout-estoril-1	38.750833	-9.394167
1993	15	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1993	16	layout-adelaide-1	layout-adelaide-1	-34.927222	138.617222
1994	1	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1994	2	layout-aida-1	layout-aida-1	34.915	134.221111
1994	3	layout-imola-1	layout-imola-1	44.341111	11.713333
1994	4	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1994	5	layout-catalunya-1	layout-catalunya-1	41.57	2.261111
1994	6	layout-montreal-4	layout-montreal-4	45.500578	-73.522461
1994	7	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1994	8	layout-silverstone-5	layout-silverstone-5	52.078611	-1.016944
1994	9	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1994	10	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1994	11	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1994	12	layout-monza-6	layout-monza-6	45.620556	9.289444
1994	13	layout-estoril-2	layout-estoril-2	38.750833	-9.394167
1994	14	layout-jerez-2	layout-jerez-2	36.708333	-6.034167
1994	15	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1994	16	layout-adelaide-1	layout-adelaide-1	-34.927222	138.617222
1995	1	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1995	2	layout-buenos-aires-4	layout-buenos-aires-4	-34.694272	-58.459347
1995	3	layout-imola-2	layout-imola-2	44.341111	11.713333
1995	4	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
1995	5	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1995	6	layout-montreal-4	layout-montreal-4	45.500578	-73.522461
1995	7	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1995	8	layout-silverstone-5	layout-silverstone-5	52.078611	-1.016944
1995	9	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1995	10	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1995	11	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1995	12	layout-monza-6	layout-monza-6	45.620556	9.289444
1995	13	layout-estoril-2	layout-estoril-2	38.750833	-9.394167
1995	14	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
1995	15	layout-aida-1	layout-aida-1	34.915	134.221111
1995	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1995	17	layout-adelaide-1	layout-adelaide-1	-34.927222	138.617222
1996	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
1996	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1996	3	layout-buenos-aires-4	layout-buenos-aires-4	-34.694272	-58.459347
1996	4	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
1996	5	layout-imola-2	layout-imola-2	44.341111	11.713333
1996	6	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1996	7	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
1996	8	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
1996	9	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1996	10	layout-silverstone-6	layout-silverstone-6	52.078611	-1.016944
1996	11	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1996	12	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1996	13	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1996	14	layout-monza-6	layout-monza-6	45.620556	9.289444
1996	15	layout-estoril-2	layout-estoril-2	38.750833	-9.394167
1996	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1997	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
1997	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1997	3	layout-buenos-aires-4	layout-buenos-aires-4	-34.694272	-58.459347
1997	4	layout-imola-2	layout-imola-2	44.341111	11.713333
1997	5	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1997	6	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
1997	7	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
1997	8	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1997	9	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
1997	10	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1997	11	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1997	12	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1997	13	layout-monza-6	layout-monza-6	45.620556	9.289444
1997	14	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
1997	15	layout-nurburgring-3	layout-nurburgring-3	50.335556	6.9475
1997	16	layout-suzuka-1	layout-suzuka-1	34.843056	136.540556
1997	17	layout-jerez-2	layout-jerez-2	36.708333	-6.034167
1998	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
1998	2	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
1998	3	layout-buenos-aires-4	layout-buenos-aires-4	-34.694272	-58.459347
1998	4	layout-imola-2	layout-imola-2	44.341111	11.713333
1998	5	layout-catalunya-2	layout-catalunya-2	41.57	2.261111
1998	6	layout-monaco-5	layout-monaco-5	43.734722	7.420556
1998	7	layout-montreal-5	layout-montreal-5	45.500578	-73.522461
1998	8	layout-magny-cours-2	layout-magny-cours-2	46.863242	3.164228
1998	9	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
1998	10	layout-spielberg-3	layout-spielberg-3	47.219722	14.764722
1998	11	layout-hockenheimring-3	layout-hockenheimring-3	49.327778	8.565833
1998	12	layout-hungaroring-2	layout-hungaroring-2	47.582222	19.251111
1998	13	layout-spa-francorchamps-2	layout-spa-francorchamps-2	50.437222	5.971389
1998	14	layout-monza-6	layout-monza-6	45.620556	9.289444
