year	round	asset_id	reference_id	latitude	longitude
2009	5	layout-catalunya-4	layout-catalunya-4	41.57	2.261111
2009	6	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2009	7	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2009	8	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2009	9	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2009	10	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2009	11	layout-valencia-1	layout-valencia-1	39.458778	-0.325556
2009	12	layout-spa-francorchamps-4	layout-spa-francorchamps-4	50.437222	5.971389
2009	13	layout-monza-7	layout-monza-7	45.620556	9.289444
2009	14	layout-marina-bay-1	layout-marina-bay-1	1.291531	103.86385
2009	15	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2009	16	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2009	17	layout-yas-marina-1	layout-yas-marina-1	24.467222	54.603056
2010	1	layout-bahrain-2	layout-bahrain-2	26.0325	50.510556
2010	2	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2010	3	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2010	4	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2010	5	layout-catalunya-4	layout-catalunya-4	41.57	2.261111
2010	6	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2010	7	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2010	8	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2010	9	layout-valencia-1	layout-valencia-1	39.458778	-0.325556
2010	10	layout-silverstone-8	layout-silverstone-8	52.078611	-1.016944
2010	11	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2010	12	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2010	13	layout-spa-francorchamps-4	layout-spa-francorchamps-4	50.437222	5.971389
2010	14	layout-monza-7	layout-monza-7	45.620556	9.289444
2010	15	layout-marina-bay-1	layout-marina-bay-1	1.291531	103.86385
2010	16	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2010	17	layout-yeongam-1	layout-yeongam-1	34.733333	126.416667
